0.01	0
0.02	3000
0.03	-86999.7
0.04	2.61298e+06
0.05	-7.83862e+07
0.06	2.35158e+09
0.07	-7.05472e+10
0.08	2.11641e+12
0.09	-6.34921e+13
0.1	1.90476e+15
0.11	-5.71425e+16
0.12	1.71427e+18
0.13	-5.14279e+19
0.14	1.54283e+21
0.15	-4.62848e+22
0.16	1.38854e+24
0.17	-4.16561e+25
0.18	1.24968e+27
0.19	-3.74902e+28
0.2	1.1247e+30
0.21	-3.3741e+31
0.22	1.01223e+33
0.23	-3.03667e+34
0.24	9.10998e+35
0.25	-2.73299e+37
0.26	inf
0.27	-nan
0.28	-nan
0.29	-nan
0.3	-nan
0.31	-nan
0.32	-nan
0.33	-nan
0.34	-nan
0.35	-nan
0.36	-nan
0.37	-nan
0.38	-nan
0.39	-nan
0.4	-nan
0.41	-nan
0.42	-nan
0.43	-nan
0.44	-nan
0.45	-nan
0.46	-nan
0.47	-nan
0.48	-nan
0.49	-nan
0.5	-nan
0.51	-nan
0.52	-nan
0.53	-nan
0.54	-nan
0.55	-nan
0.56	-nan
0.57	-nan
0.58	-nan
0.59	-nan
0.6	-nan
0.61	-nan
0.62	-nan
0.63	-nan
0.64	-nan
0.65	-nan
0.66	-nan
0.67	-nan
0.68	-nan
0.69	-nan
0.7	-nan
0.71	-nan
0.72	-nan
0.73	-nan
0.74	-nan
0.75	-nan
0.76	-nan
0.77	-nan
0.78	-nan
0.79	-nan
0.8	-nan
0.81	-nan
0.82	-nan
0.83	-nan
0.839999	-nan
0.849999	-nan
0.859999	-nan
0.869999	-nan
0.879999	-nan
0.889999	-nan
0.899999	-nan
0.909999	-nan
0.919999	-nan
0.929999	-nan
0.939999	-nan
0.949999	-nan
0.959999	-nan
0.969999	-nan
0.979999	-nan
0.989999	-nan
0.999999	-nan
1.01	-nan
1.02	-nan
1.03	-nan
1.04	-nan
1.05	-nan
1.06	-nan
1.07	-nan
1.08	-nan
1.09	-nan
1.1	-nan
1.11	-nan
1.12	-nan
1.13	-nan
1.14	-nan
1.15	-nan
1.16	-nan
1.17	-nan
1.18	-nan
1.19	-nan
1.2	-nan
1.21	-nan
1.22	-nan
1.23	-nan
1.24	-nan
1.25	-nan
1.26	-nan
1.27	-nan
1.28	-nan
1.29	-nan
1.3	-nan
1.31	-nan
1.32	-nan
1.33	-nan
1.34	-nan
1.35	-nan
1.36	-nan
1.37	-nan
1.38	-nan
1.39	-nan
1.4	-nan
1.41	-nan
1.42	-nan
1.43	-nan
1.44	-nan
1.45	-nan
1.46	-nan
1.47	-nan
1.48	-nan
1.49	-nan
1.5	-nan
1.51	-nan
1.52	-nan
1.53	-nan
1.54	-nan
1.55	-nan
1.56	-nan
1.57	-nan
1.58	-nan
1.59	-nan
1.6	-nan
1.61	-nan
1.62	-nan
1.63	-nan
1.64	-nan
1.65	-nan
1.66	-nan
1.67	-nan
1.68	-nan
1.69	-nan
1.7	-nan
1.71	-nan
1.72	-nan
1.73	-nan
1.74	-nan
1.75	-nan
1.76	-nan
1.77	-nan
1.78	-nan
1.79	-nan
1.8	-nan
1.81	-nan
1.82	-nan
1.83	-nan
1.84	-nan
1.85	-nan
1.86	-nan
1.87	-nan
1.88	-nan
1.89	-nan
1.9	-nan
1.91	-nan
1.92	-nan
1.93	-nan
1.94	-nan
1.95	-nan
1.96	-nan
1.97	-nan
1.98	-nan
1.99	-nan
2	-nan
2.01	-nan
2.02	-nan
2.03	-nan
2.04	-nan
2.05	-nan
2.06	-nan
2.07	-nan
2.08	-nan
2.09	-nan
2.1	-nan
2.11	-nan
2.12	-nan
2.13	-nan
2.14	-nan
2.15	-nan
2.16	-nan
2.17	-nan
2.18	-nan
2.19	-nan
2.2	-nan
2.21	-nan
2.22	-nan
2.23	-nan
2.24	-nan
2.25	-nan
2.26	-nan
2.27	-nan
2.28	-nan
2.29	-nan
2.3	-nan
2.31	-nan
2.32	-nan
2.33	-nan
2.34	-nan
2.35	-nan
2.36	-nan
2.37	-nan
2.38	-nan
2.39	-nan
2.4	-nan
2.41	-nan
2.42	-nan
2.43	-nan
2.44	-nan
2.45	-nan
2.46	-nan
2.47	-nan
2.48	-nan
2.49	-nan
2.5	-nan
2.51	-nan
2.52	-nan
2.53	-nan
2.54	-nan
2.55	-nan
2.56	-nan
2.57	-nan
2.58	-nan
2.59	-nan
2.6	-nan
2.61	-nan
2.62	-nan
2.63	-nan
2.64	-nan
2.65	-nan
2.66	-nan
2.67	-nan
2.68	-nan
2.69	-nan
2.7	-nan
2.71	-nan
2.72	-nan
2.73	-nan
2.74	-nan
2.75	-nan
2.76	-nan
2.77	-nan
2.78	-nan
2.79	-nan
2.8	-nan
2.81	-nan
2.82	-nan
2.83	-nan
2.84	-nan
2.85	-nan
2.86	-nan
2.87	-nan
2.88	-nan
2.89	-nan
2.9	-nan
2.91	-nan
2.92	-nan
2.93	-nan
2.94	-nan
2.95	-nan
2.96	-nan
2.97	-nan
2.98	-nan
2.99	-nan
3	-nan
3.01	-nan
3.02	-nan
3.03	-nan
3.04	-nan
3.05	-nan
3.06	-nan
3.07	-nan
3.08	-nan
3.09	-nan
3.1	-nan
3.11	-nan
3.12	-nan
3.13	-nan
3.14	-nan
3.15	-nan
3.16	-nan
3.17	-nan
3.18	-nan
3.19	-nan
3.2	-nan
3.21	-nan
3.22	-nan
3.23	-nan
3.24	-nan
3.25	-nan
3.26	-nan
3.27	-nan
3.28	-nan
3.29	-nan
3.3	-nan
3.31	-nan
3.32	-nan
3.33	-nan
3.34	-nan
3.35	-nan
3.36	-nan
3.37	-nan
3.38	-nan
3.39	-nan
3.4	-nan
3.41	-nan
3.42	-nan
3.43	-nan
3.44	-nan
3.45	-nan
3.46	-nan
3.47	-nan
3.48	-nan
3.49	-nan
3.5	-nan
3.51	-nan
3.52	-nan
3.53	-nan
3.54	-nan
3.55	-nan
3.56	-nan
3.57	-nan
3.58	-nan
3.59	-nan
3.6	-nan
3.61	-nan
3.62	-nan
3.63	-nan
3.64	-nan
3.65	-nan
3.66	-nan
3.67	-nan
3.68	-nan
3.69	-nan
3.7	-nan
3.71	-nan
3.72	-nan
